"text","total","positive","negative","score","label"
"ngaruh tidak lolos kak prakerja nya",3,1,2,-1,"Negatif"
"prakerja tidak lolos blt bpjs tidak gaji tidak naik sabar",8,3,5,-2,"Negatif"
"nyata nyata bayar tidak kartu prakerja konon anggur gaji tidak ngandelin demo cari makan",4,0,4,-4,"Negatif"
"hai kak kakak maksud pendafataran prakerja rekening rekening konvensional bukan syariah kak terimakasih giani",1,1,0,1,"Positif"
"hai kak kakak ingin buka rekening bni taplus prakerja sila cabang bni bawa e ktp npwp laku buka rekening walapun belum lolos prakerja kak tks giani",2,1,1,0,"Netral"
"hai kak nureni kena sila kakak hubung selenggara prakerja bni salur dana kak terimakasih giani",1,1,0,1,"Positif"
"habis pikir pikir prakerja sisi kapitalis sih imbal latih",3,1,2,-1,"Negatif"
"prakerja lebih kiri berik gratis rakyat",2,2,0,2,"Positif"
"program prakerja lebih sosialisme kapitalisme",3,2,1,1,"Positif"
"negara demokrasi bijak prakerja lebih sosialisme kapitalisme",5,4,1,3,"Positif"
"prakerja lebih sosialisme bilang komunisme pemerintah kasih cuma hadap rakyat komunisme rakyat tidak boleh ngritik pemerintah",6,2,4,-2,"Negatif"
"masalah prakerja tidak boleh masalah boleh komunisme subsidi tidak boleh ngritik kapitalisme demokrasi orang urus butuh boleh ngritik pemerintah",10,2,8,-6,"Negatif"
"argumen cuma benar doang program prakerja benar lebih sosialisme kapitalisme bilang",5,4,1,3,"Positif"
"promosi kartu prakerja situ bayar buzzer",1,0,1,-1,"Negatif"
"import tenaga kerja aseng laju miskin anggur cina turun slogan indonesia maju cerita rakyat indonesia nyata jokowi miskin tumbuh subur kartu prakerja redam laju anggur indones",8,3,5,-2,"Negatif"
"gantung gelombang mbak tau gelombang buka tutup cek ignya prakerja go id",1,0,1,-1,"Negatif"
"terima manfaat kartu prakerja tembus orang cari berita klik",3,2,1,1,"Positif"
"harap sih kartu prakerja tuh pakai ngasah skill offline kursus welding tinggal bawa tuh kartu eh tidak tau cuma tonton vidio bayar ribu wajar komplain",2,0,2,-2,"Negatif"
"aplikasi neo kartu prakerja tuai respons positif",1,1,0,1,"Positif"
