"","x"
"1","@Adri03818646 Emang ngaruh ya?kan gak lolos jg kak prakerja nya<U+0001F614>"
"2","Prakerja gak lolos
Blt bpjs gak dpt
Gaji 2th gal naik
WKWKWK SABARRRR<U+0001F60A>"
"3","@PutraErlangga_ @DidiekMurdock Ternyata oh ternyata,bayaran.knp nggak minta kartu prakerja saja.yg konon katanya penganghuran dapat gaji.jadi nggak usah ngandelin demo buat cari makan."
"4","@yaknes9 Hai Kak, jika yang Kakak makasud untuk pendafataran prakerja, maka rekening yang digunkan adalah rekening Konvensional bukan Syariah ya Kak. Tks -Giani-"
"5","@pusingbangedh Hai Kak, jika Kakak ingin pembukaan rekening BNI Taplus Prakerja. Silakan mendatangi Cabang BNI terdekat dengan membawa e-KTP, NPWP (jika ada),  dan bisa melakukan pembukaan rekening walapun belum  lolos dari prakerja ya Kak.  Tks -Giani-"
"6","@NeNi961111 Hai Kak Nureni, mengenai hal tersebut silakan Kakak menghubungi pihak penyelenggara (Prakerja) karena BNI hanya sebagai penyalur dana ya Kak. Tks -Giani-"
"7","@SelfRem58313324 @rforrico @contrexyn_ @txtdrpemerintah Tapi habis aku pikir-pikir lagi, Prakerja juga ada sisi kapitalisnya juga sih, suatu hal itu diberi sebagai imbalan atas pelatihan yang kita ikuti."
"8","@indiraasarii @okyteguhpermadi @ammammad @contrexyn_ @txtdrpemerintah Prakerja itukan lebih ke kiri. Memberikan suatu hal secara gratis kepada rakyat."
"9","@AzathothsWrath @brewokans @ammammad @contrexyn_ @txtdrpemerintah Ini juga program Prakerja itu lebih ke sosialisme daripada kapitalisme."
"10","@rforrico @contrexyn_ @txtdrpemerintah Memang, karena negara kita ini demokrasi. Namun, kebijakan Prakerja ini lebih ke sosialisme daripada kapitalisme."
"11","@SelfRem58313324 @rforrico @contrexyn_ @txtdrpemerintah Prakerja ini lebih ke sosialisme atau bisa juga dibilang komunisme, karena pemerintah kasih suatu hal secara percuma terhadap rakyatnya. Dan di dalam komunisme, rakyat ga boleh ngritik pemerintah."
