"","text"
"1"," emang ngaruh yakan gak lolos jg kak prakerja nya"
"2","prakerja gak lolos blt bpjs gak dpt gaji th gal  wkwkwk sabarrrr"
"3","   oh ternyatabayaranknp nggak  kartu prakerja sajayg konon  penganghuran  gajijadi nggak  ngandelin demo  cari makan"
"4"," hai kak   kakak makasud  pendafataran prakerja  rekening  digunkan  rekening konvensional  syariah ya kak tks giani"
"5"," hai kak  kakak  pembukaan rekening bni taplus prakerja silakan  cabang bni terdekat  membawa ektp npwp       pembukaan rekening walapun   lolos  prakerja ya kak  tks giani"
"6"," hai kak nureni    silakan kakak menghubungi  penyelenggara prakerja  bni   penyalur dana ya kak tks giani"
"7","     habis  pikirpikir  prakerja   sisi kapitalisnya  sih      imbalan  pelatihan   ikuti"
"8","     prakerja itukan   kiri     gratis  rakyat"
"9","       program prakerja    sosialisme  kapitalisme"
"10","     negara   demokrasi  kebijakan prakerja    sosialisme  kapitalisme"
"11","    prakerja    sosialisme    dibilang komunisme  pemerintah kasih      rakyatnya    komunisme rakyat ga  ngritik pemerintah"
"12","      prakerja ga        komunisme   disubsidi  ga  ngritik kapitalisme  demokrasi   orang urusin kebutuhannya    ngritik pemerintah"
"13","     iya  mengakui argumenku  bener  doang   program prakerja     sosialisme  kapitalisme    gitu"
"14","  ko  promosi kartu prakerja situ dibayar   buzzer"
"15","import tk aseng  melaju kemiskinan dn pengangguran china menurun  slogan  maju  cerita  rakyat    kenyataannya  jokowi kemiskinan tumbuh subur kartu prakerja   redam laju pengangguran  indones "
"16","   tergantung gelombangnya mba  tau   gelombang  buka   tutup cek aja ignya prakerjagoid"
"17","penerima manfaat kartu prakerja tembus  juta orang   cari berita  klik    "
"18"," ya gimana ya  harapan sih kartu prakerja tuh  pake  ngasah skill offline   kursus welding ya tinggal bawa tuh kartu eh ga taunya  nonton vidio bayar rebujuta  wajarlah  yg komplain"
"19","aplikasi neo kartu prakerja tuai respons positif "
"20","sertifikat  muncul  dashboard prakerja   selesai pelatihan amp  isi ulasan tgl  nop"
"21","siaran pers icw menang sengketa informasi perjanjian kerja  program prakerja  dokumen publik  selengkapnya   rilisicw"
"22","ikutan program prakerja trus masuk grup telegram  cari jodoh locals ni emang  banget  sange  gmn si"
"23","icw menang kemenko perekonomian  buka informasi dokumen prakerja   hukum"
"24","total penerima kartu prakerja capai  juta        kartuprakerja"
"25"," kartu prakerja gelombang   dibuka   kartuprakerja"
"26","kemenkeu catat realisasi program kartu prakerja  capai   kartuprakerja"
"27","kartu prakerja    penerima program        kartuprakerja"
"28"," yg  prakerja gelombang  gasi  survey sertifnya ud     blm"
"29"," udah dicoba  blm  keterangan kuliah gabisa ya selebihnya  tau  dr  prakerja "
"30","siapsiap bantuan pemerintah rp  juta  kartu prakerja gelombang   dibuka nih bocoran    "
"31"," kartu prakerja gada batas  daftar "
"32","  pacarnya     kota pke rapot merah rezim orde      segi apapun     tubuh manusia   setuju  prakerja terimakasih  kunjungan  selamat berbelanja   aktifitas pencarian harga produk opo kae"
"33","   kak  termin  yg  cair gimana kak  data valid  gaji dibawah jt aktif kepersertaan tdk dpt dana dr prakerja     ga cair termin  bsu nya"
"34","   kak  termin  yg  cair gimana kak  data valid  gaji dibawah jt aktif kepersertaan tdk dpt dana dr prakerja     ga cair termin  bsu nya"
"35","   kak  termin  yg  cair gimana kak  data valid  gaji dibawah jt aktif kepersertaan tdk dpt dana dr prakerja     ga cair termin  bsu nya"
"36","pendaftaran kartu prakerja gelombang   dibuka "
"37","  dibuka peminat kartu prakerja capai  juta orang "
"38","btw  orang    kerjaan ga dipecat gaji ga dikurangi   hidupnya   santai menikmati duit  prakerja  beli kemeja celana sepatu dll ga salah sasaran kah prakerja  "
"39","program kartu prakerja berlanjut    "
"40"," kaga  blt bpjs ketenagakerjaan  emang  mendaftar kartu prakerja"
"41","hala hala protes pajak  beliin masker  swab kerumunan hrs kemana  pas pajak mu dibikin prakerja yg video nya   youtube"
"42","tmn gw ngeshare link prakerja  gc kelas gw ikutan nyoba  disuruh share linknya  gc  pribadi   linknya penipuan  data gw diambil  udh masukin no  data   goblop bgt yg share link nya  kali"
"43"," lsp  prakerja"
"44"," bikin cs prakerja aja    komplain  ga  medsos    csnya tp ga   buzzer ya "
"45"," kyk gwe fb gari ketik prakerja ng gugel pilih dashboard prakerjabuat akun"
"46","   minggu  uang tinggal  ribu didompet rekening kosong berharap  insentif prakerja  engga cair  diserahkan ama tuhan aja esok harinya prakerja cairmenyambung hidup yg serba pas"
"47"," prakerja yg  orang kantoran mahasiswa pelajar   sasaran"
"48","  ga pake kartu prakerja"
"49"," ga  web pemerintah beda urlnya  udah  kalo  google diarahin  "
"50"," fungsi logo lonceng  dashboard prakerja "
"51"," cek  peserta prakerja   rp  juta asli  prakerja "
"52"," gagal mengirim survey evaluasi prakerja  solusinya "
"53","prakerja gelombang  dibuka     cek infonya "
"54","pelatihan prakerja digelar offline  "
"55","arti status insentif prakerja "
"56","hahaha peserta prakerja  komplain  medsos moeldoko   usahlah  komplain "
"57"," halo kak indah  kakak  cek mutasi rekening     kakak bis konfirmasi   prakerja  nomor  ya kak tks adel"
"58","  hai kak  pencarian dana  silakan kakak  cabang bni   sesuai sms  membawa ektp bukti sukses pembukaan rekening  bukti kepemilikan akun prakerja ya kak tks nardo"
"59"," halo kakak mohon maaf  kendalanya terkait    sarankan kakak menghubungi unit  prakerja  nomor  tks shalimar"
"60","penerima manfaat kartu prakerja tembus  juta orang "
"61"," ribu penerima kartu prakerja terancam   insentif "
"62","survei bps  persen penerima kartu prakerja akui  bermanfaat "
"63","pemerintah  sinyal program kartu prakerja   digelar offline "
